location,present_name,borough,name,desc
32nd Street and Astoria Blvd.,None,Queens,Cav. Vincent Iannece Corner, Vincent Iannece (1925-2005) was the founder of the Federation of the Italian American Organizations of Queens. He was instrumental in organizing and hosting the Queens Columbus Day Parade for over four decades.
Between 140th Avenue and South Conduit Boulevard,161st Street ,Queens,"Charles A. Pringle Jr., Esq. Way"," Charles A. Pringle Jr., Esq. (1973-2006), a graduate of St. John’s University, was a member of Alpha Phi Alpha, chairman of the Political Action Committee of the NAACP, a manager for the St. John’s Redman basketball team and a member of Haraya – a Black Student’s Coalition.  He went on to be an Assistant District Attorney for Bronx County and Democratic District Leader for the 31st Assembly District, Part B."
At the northwest corner of 149th Street and Willets Point Boulevard,None,Queens,Charles Lucania Memorial Way," Charles P. Lucania (1966-2011), an electrician who was raised in Whitestone, Queens, was killed in the terrorist attack on the World Trade Center on September 11, 2001.  He was on the 98th floor of the South Tower working for P.E. Stone.  (Vallone)
"
Between Douglaston Parkway and Little Neck Road (also known as 38th Drive),39th Avenue,Queens,Cherry Street," This was the historic name of 39th Avenue prior to the 1920s, when local streets were given numerical designations.  This street is  within the Douglaston-Little Neck historic district.  ."
Between Rockaway Beach Boulevard and the Boardwalk,Beach 118th Street,Queens,Chief John Moran Way," Chief John Moran (b. 1959) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Intersection of Admiral Avenue and Metropolitan Avenue,none,Queens,Christina Donovan-Flannery Avenue," Christina Donovan-Flannery (b. 1975) worked at Sandler & O’Neill Partners in the World Trade Center.  She was killed in the terrorist attack of September 11, 2001.  [Listed under Flannery in CNN list]"
"Triangle bounded by Horace Harding Expressway, 174th Street and 64th Avenue",None,Queens,Christopher Postiglione Triangle," Christopher Postiglione (1968-1999), a worker for the Department of Environmental Protection, died of injuries suffered when he was struck by a hit and run driver while making repairs at this location. "
Between Morenci Lane and Marathon Parkway,Thornhill Avenue,Queens,Christopher Racaniello 9/11 Memorial  Way," Christopher Racaniello (b. 1971) worked for Cantor Fitzegerald at the World Trade Center.  He  was killed in the terrorist attack of September 11, 2001"
Northwest corner of 149th Street and Roosevelt Avenue,None,Queens,First United Methodist Church Way," Since 1811, the Flushing United Methodist Church has grown steadily to become the largest Methodist church in the nation.  "
Southeast corner of 52nd Avenue at 94th Street,None,Queens,Florry Burrell Way, Florry Burrell (1924-2002) moved to Elmhurst in 1952 and became a well-known and beloved figure in the community. She volunteered for the Red Cross and became a Girl Scout troop leader. She was also a school aide at PS 13 for many years. 
On the north corner of Tuskegee Airmen Way and 153rd Street,None,Queens,Flt. Officer Lawrence A. Brown Corner," Flight Officer Lawrence A. (Bubba) Brown (1909-2012), one of the original Tuskegee Airmen, was drafted  in 1942 and served in a segregated unit in North Africa, Sicily and Italy.   He was wounded in Italy and spent 18 months recovering in Army hospitals. After his discharge, he worked in the Minnesota Department of Revenue as a tax auditor.  From 1966 to 1968, he helped set up an income tax withholding system in Uganda under a contract with the U. S. Agency for International Development.  He was a founder of the Ronald McDonald House in Minneapolis, opened in 1979.  He was a volunteer coach and mentor at Phyllis Wheatley Community Center and also tutored in the Minneapolis public schools. (Wills)  [This is one of 18  namings along Tuskegee Airmen Way honoring outstanding units and individuals in African-American military history.]"
Between Northern Boulevard and Alameda Avenue,245th Street,Queens,Fr. John J. Gribbon Way, Father John J. Gribbon (1925-2005) was a priest with the Church of St. Anastasia in Douglaston for 39 years.  He also served as chaplain for the Little Neck-Douglaston Volunteer Ambulance Corps.  
Intersection of 111th Street and Roosevelt Avenue,None,Queens,Francisco Munoz Way," Francisco Munoz (b. 1972) was killed in the terrorist attack on the World Trade Center on September 11, 2001."
Intersection of Woodside Avenue and 59th Street,None,Queens,Frank Carvill Place," Frank Carvill was killed on National Guard duty in Iraq.  He was a founding member of Irish Immigration Reform and of the Emerald Isle Immigration Center.  He was killed by a landmine on June 4, 2004.  He and another soldier killed in the same attack were the first New Jersey National Guards to be killed in combat since World War II. "
"Existing playground located south of Broadway, east of 78th Street, and West of 79th Street",None,Queens,Frank D. O’Connor Playground," After serving in the Coast  Guard in World War II, Frank D. O'Connor (1909-1992)  was elected to three terms in the NYS Senate. In 1955 he was elected Queens District Attorney, a post he held for 10 years.  He was President of the City Council from 1965 to 1968, when he was elected to the NYS Supreme Court.  In 1976 he was appointed Justice of the Appellate Division for the Second Department."
Southeast corner of 35th Street and Ditmars Boulevard,None,Queens,Frank Justich Way, Frank Justich (1968-2010 was a Department of Sanitation worker who was killed on duty when he was struck by a tractor trailer.  His badge number 11444 will be retired and Queens West 1 Garage where he worked will be named for him.  
Intersection of Forest Avenue and Woodbine Street,None,Queens,Frank Koestner Avenue," Frank Koestner (b. 1953) worked at Cantor Fitzgerald in the World Trade Center.  He was killed in the terrorist attack of September 11, 2001."
Between 61st Street and 64th Street,Maspeth Avenue,Queens,Frank Kowalinski Way," Frank Kowalinski (1894-1918)was the first U.S. Army soldier of Polish descent from Maspeth to be killed in combat during World War I.  He was drafted in 1917 and from injuries sustained in battle in France.  Post 4 of the Polish Legion of American Veterans in Maspeth was named for him in 1931. The Post also recognized the over three million Polish-Americans  who have died while seving in the U.S. Armed Forces. (Crowley)

"
Between 115th and 116th Avenues,222nd Street,Queens,Barbara DeCosta Waldon Place," Barbara DeCosta Waldon (d. 2004) was an artist and community volunteer, particularly active in causes for the elderly.  She established Images Plus, a graphics design firm that created advertising and political campaign promotions."
From 68th Avenue north to the end of the street,65th Street,Queens,Barbara Guzzardo Street," Barbara Guzzardo (b. 1952) worked for Aon Corporation at the World Trade Center.  She was killed in the terrorist attack of September, 11 2001. "
Southeast corner of Rockaway Beach Boulevard and Beach 144th Street,None,Queens,Barbara’s Way," Barbara Eisenstadt (d. 2007) was a longtime community activist in the Rockaways.  She was honored her involvement in the Rockaway Music And Art Council, the National Council of Jewish Women and the Friends of Rock Hall Museum.  She was also an officer of the Neponsit Property Owners Association and other civic and charitable organizations."
between 9th Avenue and 11th Avenue,123rd Street,Queens,Battalion Chief Lawrence T. Stack Street," Battalion Chief Lawrence T. Stack of the NYFD died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center."
At the northwest corner of 43rd Avenue and Bell Boulevard,None,Queens,Benjamin Fried Boulevard," Benjamin Fried (d. March 3, 2013) ran Benn’s Hardware store until 2001.   During the 1970’s, he was successful in keeping FDNY Engine Co. 306 open by organizing a large rally in Bayside and later became the chairman of the 306 Firehouse Committee.  He was also instrumental in the opening of the 64th Avenue and Springfield Boulevard Firehouse.  As a result of his devotion to the FDNY, he was given the honorary title of Deputy Battalion Chief.  He founded the Bell Boulevard Merchants Association, as well as the Annual Children’s Holiday Parade on Bell Boulevard, and he organized funding for the holiday lights on Bell Boulevard (Vallone)"
At the intersection of 41st Street and Queens Boulevard,None,Queens,Benjamin Wheeler Place," Benjamin Wheeler lived in Sunnyside, Queens for the first year of his life before moving to Connecticut. He was just six years old when he was killed in the massacre at Sandy Hook Elementary School in Newtown, Connecticut."
Between Nome Avenue and Bowdoin Street,Rockne Street,Queens,Benny Millman Street," Benny Millman (b. 1961) was killed in the terrorist attack on the World Trade center on September, 11 2001.  [Not in NY Times List]"
Intersection of Parsons Boulevard and 24th Avenue,None,Queens,Bernard L. Shapiro Boulevard," Bernard L. Shapiro (d. 2009) was a community leader who gave most of his time to the Garden Jewish Center of Flushing.  For over 30 years, he gave legal advice to the Center’s board of directors and clergy on a pro bono basis and helped establish youth programs and additional funding for the temple as well."
